state,district,year,month,rain
AndhraPradesh,WestGodavari,2015,January,0
AndhraPradesh,WestGodavari,2015,February,0
AndhraPradesh,WestGodavari,2015,March,1
AndhraPradesh,WestGodavari,2015,April,0
AndhraPradesh,WestGodavari,2015,May,53.3
AndhraPradesh,WestGodavari,2015,June,23.9
AndhraPradesh,WestGodavari,2015,July,157.9
AndhraPradesh,WestGodavari,2015,August,135.8
AndhraPradesh,WestGodavari,2015,September,197.9
AndhraPradesh,WestGodavari,2015,October,51.5
AndhraPradesh,WestGodavari,2015,November,131.2
AndhraPradesh,WestGodavari,2015,December,0.6
AndhraPradesh,WestGodavari,2016,January,38.3
AndhraPradesh,WestGodavari,2016,February,0
AndhraPradesh,WestGodavari,2016,March,0
AndhraPradesh,WestGodavari,2016,April,35.7
AndhraPradesh,WestGodavari,2016,May,170.1
AndhraPradesh,WestGodavari,2016,June,177.1
AndhraPradesh,WestGodavari,2016,July,373.6
AndhraPradesh,WestGodavari,2016,August,316.9
AndhraPradesh,WestGodavari,2016,September,266.4
AndhraPradesh,WestGodavari,2016,October,206.2
AndhraPradesh,WestGodavari,2016,November,203
AndhraPradesh,WestGodavari,2016,December,113.4
AndhraPradesh,Adilabad,2010,January,3.1
AndhraPradesh,Adilabad,2010,February,3.7
AndhraPradesh,Adilabad,2010,March,6.4
AndhraPradesh,Adilabad,2010,April,0
AndhraPradesh,Adilabad,2010,May,26.1
AndhraPradesh,Adilabad,2010,June,70.4
AndhraPradesh,Adilabad,2010,July,262.6
AndhraPradesh,Adilabad,2010,August,124.4
AndhraPradesh,Adilabad,2010,September,126.2
AndhraPradesh,Adilabad,2010,October,44.2
AndhraPradesh,Adilabad,2010,November,0
AndhraPradesh,Adilabad,2010,December,0
AndhraPradesh,Adilabad,2011,January,91.8
AndhraPradesh,Adilabad,2011,February,0.6
AndhraPradesh,Adilabad,2011,March,15.3
AndhraPradesh,Adilabad,2011,April,15.5
AndhraPradesh,Adilabad,2011,May,0
AndhraPradesh,Adilabad,2011,June,152.1
AndhraPradesh,Adilabad,2011,July,655.6
AndhraPradesh,Adilabad,2011,August,136.4
AndhraPradesh,Adilabad,2011,September,218.4
AndhraPradesh,Adilabad,2011,October,150.8
AndhraPradesh,Adilabad,2011,November,0
AndhraPradesh,Adilabad,2011,December,0
AndhraPradesh,Adilabad,2012,January,0
AndhraPradesh,Adilabad,2012,February,0
AndhraPradesh,Adilabad,2012,March,19.9
AndhraPradesh,Adilabad,2012,April,23.3
AndhraPradesh,Adilabad,2012,May,65
AndhraPradesh,Adilabad,2012,June,93.5
